"SMILES","Melting Point {measured}","UNIT {Melting Point}","Melting Point {measured, converted}","UNIT {Melting Point}"
"CCCC(C)C1(CC)C(=O)NC(=O)NC1=O","129.5 - 130.0","?C","130.0","Celsius"
"CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1","128.5 - 129.0","?C","129.0","Celsius"
"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO","141.5 - 142.0","?C","142.0","Celsius"
"CC(C)C#N","-72.0 - -71.5","?C","-71.8","Celsius"
"CC(=O)CCl","-45.0 - -44.5","?C","-44.8","Celsius"
"CCC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O","109.0 - 109.5","?C","109.0","Celsius"
"COC1=CC=CC=C1","-37.5 - -37.0","?C","-37.2","Celsius"
"C1CCC=CC1","-104.0 - -103.5","?C","-104.0","Celsius"
"CCC(=O)OC","-88.0 - -87.5","?C","-87.8","Celsius"
"CCCCCCCCCCCCCC","5.5 - 6.0","?C","5.75","Celsius"
"OC1=CC=C(C=C1)C#N","111.5 - 112.0","?C","112.0","Celsius"
"COC1=CC=C(NC(=O)N(C)C)C=C1Cl","126.5 - 127.0","?C","127.0","Celsius"
"CCCN(CC1CC1)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O","32.0 - 32.5","?C","32.2","Celsius"
"NCCCCN","27.0 - 27.5","?C","27.2","Celsius"
"COC(=O)CCC(=O)OC","19.0 - 19.5","?C","19.2","Celsius"
"COC(=O)C1=CC=CC=C1N","24.0 - 24.5","?C","24.2","Celsius"
"COC1=CC(C=O)=CC=C1O","81.5 - 82.0","?C","81.8","Celsius"
"CC1=CC(=CC=C1)[N+]([O-])=O","15.5 - 16.0","?C","15.8","Celsius"
"CS(C)=O","18.0 - 18.5","?C","18.2","Celsius"
"NC(=O)C1=CC=CN=C1","129.5 - 130.0","?C","130.0","Celsius"
"CCN1C=C(C(O)=O)C(=O)C2=CC=C(C)N=C12","229.0 - 229.5","?C","229.0","Celsius"
"CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12","174.5 - 175.0","?C","175.0","Celsius"
"CC=CC=O","-76.5 - -76.0","?C","-76.2","Celsius"
"O=C(C(=O)C1=CC=CC=C1)C1=CC=CC=C1","94.5 - 95.0","?C","94.8","Celsius"
"[O-][N+](=O)C1=CC=C(Cl)C=C1","83.5 - 84.0","?C","83.8","Celsius"
"CCCCOC(=O)C1=CC=C(N)C=C1","57.5 - 58.0","?C","57.8","Celsius"
"CCCCOC(=O)CCC","-92.0 - -91.5","?C","-91.8","Celsius"
"C1CCCCC1","6.45000000000005 - 7.0","?C","6.73","Celsius"
"NC=O","2.0 - 2.55","?C","2.27","Celsius"
"[H]C([H])([H])C([H])([H])[H]","-183.33 - -182.78","?C","-183.0","Celsius"
"O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1","151.0 - 151.6","?C","151.0","Celsius"
"FC(Cl)(Cl)Cl","-111.1 - -110.5","?C","-111.0","Celsius"
"CCCCOC(=O)C=C","-64.6 - -64.0","?C","-64.3","Celsius"
"CC(Cl)=C","-138.0 - -137.4","?C","-138.0","Celsius"
"CC(=C)CCC(C)=C","-75.6 - -75.0","?C","-75.3","Celsius"
"CC(C)C1=CC(C(C)C)=C(C=C1C(C)C)C(C)C","118.4 - 119.0","?C","119.0","Celsius"
"O1C=CC=C1","-85.6 - -85.0","?C","-85.3","Celsius"
"NC(=O)C1=CC=CC=C1[N+]([O-])=O","176.0 - 176.6","?C","176.0","Celsius"
"COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC","200.4 - 201.0","?C","201.0","Celsius"
"CCCCCCCCCCCCCCBr","5.0 - 5.6","?C","5.3","Celsius"
"CC1OC(C)OC(C)O1","12.0 - 12.6","?C","12.3","Celsius"
"OC1=CC=CC=C1Br","5.0 - 5.6","?C","5.3","Celsius"
"CCCCCCC=CCCCCCCCC(O)=O","-0.1 - 0.5","?C","0.2","Celsius"
"O=C1CCO1","-34.0 - -33.4","?C","-33.7","Celsius"
"CC(C)(OOC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1","40.0 - 40.6","?C","40.3","Celsius"
"NNC1=CC=CC=C1","19.0 - 19.6","?C","19.3","Celsius"
"OCCF","-27.0 - -26.4","?C","-26.7","Celsius"
"CC(C)(C)C","-17.0 - -16.4","?C","-16.7","Celsius"
"CCCCCCCCCCCCCCCCCCCCCCCCCC","56.4 - 57.0","?C","56.7","Celsius"
"O=S1(=O)CCCC1","27.0 - 27.6","?C","27.3","Celsius"
"OCCC#C","-63.6 - -63.0","?C","-63.3","Celsius"
"CN(C)C=O","-61.0 - -60.4","?C","-60.7","Celsius"
"CCCCCCCCCCC(O)=O","28.0 - 28.6","?C","28.3","Celsius"
"ClC(Cl)Cl","-63.6 - -63.0","?C","-63.3","Celsius"
"OC1CCCCCCCCC1","39.85 - 40.5","?C","40.2","Celsius"
"CN1C(=O)N(C)C(=O)N(C)C1=O","175.85 - 176.5","?C","176.0","Celsius"
"CC1=CC=NC=C1","3.0 - 3.66","?C","3.33","Celsius"
"IC#N","146.0 - 146.7","?C","146.0","Celsius"
"ClC1=CC=CC=C1Br","-13.0 - -12.3","?C","-12.7","Celsius"
"BrC1=CC2=CC=CC=C2N=C1","13.3 - 14.0","?C","13.7","Celsius"
"CCOC1=CC=CC=C1C(O)=O","20.0 - 20.7","?C","20.4","Celsius"
"BrCCCOC1=CC=CC=C1","10.0 - 10.7","?C","10.3","Celsius"
"CCC(C1=CC=CC=C1)C1=CC=CC=C1","13.3 - 14.0","?C","13.7","Celsius"
"CCl","-97.7 - -97.0","?C","-97.3","Celsius"
"C1CO1","-111.7 - -111.0","?C","-111.0","Celsius"
"FC(F)(F)C(F)(F)F","-100.7 - -100.0","?C","-100.0","Celsius"
"CC(C)(C)C1=CC=C(O)C(O)=C1","54.3 - 55.0","?C","54.6","Celsius"
"OC1=C(C=O)C=C(Cl)C=C1","100.3 - 101.0","?C","101.0","Celsius"
"CC1=CC(Br)=CC=C1O","64.0 - 64.7","?C","64.3","Celsius"
"CC(C)OC(=O)NC1=CC=CC=C1","87.3 - 88.0","?C","87.7","Celsius"
"C1CCCCCCCCCCCCCC1","61.3 - 62.0","?C","61.6","Celsius"
"FC1=CC(F)=C(F)C(F)=C1F","-48.0 - -47.3","?C","-47.6","Celsius"
"C=CC=O","-87.7 - -87.0","?C","-87.3","Celsius"
"BrC1=CC=C(OC2=CC=CC=C2)C=C1","18.0 - 18.72","?C","18.4","Celsius"
"CCN1C=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC1=O","166.5 - 167.25","?C","167.0","Celsius"
"OC(C1=CC=CC=C1)C1=CC=C(Cl)C=C1","60.0 - 60.75","?C","60.4","Celsius"
"OC(=O)COC1=CC=C(F)C=C1","104.25 - 105.0","?C","105.0","Celsius"
"ClC1=CC=C(C=C1)C(C1=CC=CC=C1Cl)C(Cl)(Cl)Cl","74.2 - 75.0","?C","74.6","Celsius"
"O=C=NC1=CC=C(CC2=CC=C(C=C2)N=C=O)C=C1","37.2 - 38.0","?C","37.6","Celsius"
"CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC","-67.8 - -67.0","?C","-67.4","Celsius"
"CC(C)OC(C)C","-86.8 - -86.0","?C","-86.4","Celsius"
"C1OCOCO1","60.2 - 61.0","?C","60.6","Celsius"
"CCCC(O)CCC","-42.0 - -41.2","?C","-41.6","Celsius"
"CC1=CC=C(C)O1","-62.8 - -62.0","?C","-62.4","Celsius"
"COC1=CC=CC(O)=C1O","42.0 - 42.8","?C","42.4","Celsius"
"COC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1","75.0 - 75.8","?C","75.4","Celsius"
"COC1=CC=C(C=O)C2=C1C=CC=C2","34.0 - 34.8","?C","34.4","Celsius"
"CC#CC#CC","67.0 - 67.8","?C","67.4","Celsius"
"CCOC=C","-115.8 - -115.0","?C","-115.0","Celsius"
"OC1=CC=CC=N1","107.0 - 107.8","?C","107.0","Celsius"
"CCCCCCI","-75.0 - -74.2","?C","-74.6","Celsius"
"CC(Cl)=O","-112.8 - -112.0","?C","-112.0","Celsius"
"CCN(CC)C1=CC=CC=C1","-38.8 - -38.0","?C","-38.4","Celsius"
"ClC1=CC=C(C=C1)C1=CC=CC=C1","78.0 - 78.8","?C","78.4","Celsius"
"CC(O)C(C)(C)C","4.8 - 5.6","?C","5.2","Celsius"
"BrC1=CC=CC2=C1C=CC=C2","-1.8 - -1.0","?C","-1.4","Celsius"
"C[C@H]1CC[C@@H](O)CC1","-10.0 - -9.2","?C","-9.6","Celsius"
"OC(=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O","182.0 - 182.8","?C","182.0","Celsius"
"C=CCC=C","-148.8 - -148.0","?C","-148.0","Celsius"
"C[C@@H]1CC(=O)C=C2CC[C@H](C[C@@]12C)C(C)=C","36.0 - 36.85","?C","36.4","Celsius"
"O=C1CCCC1","-51.9 - -51.0","?C","-51.5","Celsius"
"CCCCCCCCCCCCCCCCCC(=O)OC","39.1 - 40.0","?C","39.5","Celsius"
"C1C2C=CC1C=C2","-20.0 - -19.1","?C","-19.6","Celsius"
"NCCCCCCCN","28.0 - 28.9","?C","28.4","Celsius"
"CCOC(=O)CC","-73.9 - -73.0","?C","-73.5","Celsius"
"CCCCCCOC(C)=O","-80.9 - -80.0","?C","-80.5","Celsius"
"CC(C)C=O","-65.9 - -65.0","?C","-65.5","Celsius"
"CC(C)C1=CC=C(C)C=C1","-68.9 - -68.0","?C","-68.5","Celsius"
"OC1=CC=C(C=C1)C1CC(=O)C2=C(O)C=C(O)C=C2O1","250.0 - 251.0","?C","250.0","Celsius"
"O=S=O","-73.0 - -72.0","?C","-72.5","Celsius"
"OC(=O)C1=CC=C(O)C=C1O","225.0 - 226.0","?C","226.0","Celsius"
"CC(N)(CO)CO","110.0 - 111.0","?C","110.0","Celsius"
"CC1=CC=NC(N)=C1","99.0 - 100.0","?C","99.5","Celsius"
"NC1=CC2=C(C=C1)C1=CC=CC=C1C2","128.0 - 129.0","?C","128.0","Celsius"
"COP(=O)(NC(C)=O)SC","88.0 - 89.0","?C","88.5","Celsius"
"NC1=CC=C(C=C1)C(=O)NCC(O)=O","198.5 - 199.5","?C","199.0","Celsius"
"COP(=S)(OC)SCN1N=NC2=CC=CC=C2C1=O","72.0 - 73.0","?C","72.5","Celsius"
"OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl","64.0 - 65.0","?C","64.5","Celsius"
"COC1=CC2=C(C=CC(=O)O2)C(OC)=C1","148.0 - 149.0","?C","148.0","Celsius"
"CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN","139.0 - 140.0","?C","140.0","Celsius"
"CC(C(O)=O)C1=CC=C(C=C1)N1CC2=CC=CC=C2C1=O","212.5 - 213.5","?C","213.0","Celsius"
"CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F","165.5 - 166.5","?C","166.0","Celsius"
"COP(N)(=O)SC","45.0 - 46.0","?C","45.5","Celsius"
"OC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)N=CC=C1","203.0 - 204.0","?C","204.0","Celsius"
"CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=CC=C23)CC1","52.0 - 53.0","?C","52.5","Celsius"
"OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1","114.0 - 115.0","?C","114.0","Celsius"
"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","262.0 - 263.0","?C","262.0","Celsius"
"OC(=O)C1=C(Cl)C=C(Cl)C=C1Cl","162.0 - 163.0","?C","162.0","Celsius"
"OC(=O)C1=C(Cl)C(Cl)=CC=C1","168.0 - 169.0","?C","168.0","Celsius"
"CC1=CC=C(C(O)=O)C(O)=C1","177.0 - 178.0","?C","178.0","Celsius"
"CC(=O)NC1=CC=C2C(CC3=CC=CC=C23)=C1","193.0 - 194.0","?C","194.0","Celsius"
"CC[C@]1(O)C[C@H]2C[N@@](C1)CCC1=C(NC3=C1C=CC=C3)[C@@](C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC","219.0","?C","219.0","Celsius"
"O=CC1=CC2=CC=CC=C2C=C1","61.0 - 62.0","?C","61.5","Celsius"
"C[Si](C)(C)C","-100.0 - -99.0","?C","-99.5","Celsius"
"CC1(C)C2CCC1(C)C(=O)C2Br","76.0 - 77.0","?C","76.5","Celsius"
"CCC(C)(O)C#CC(C)(O)CC","53.0 - 54.0","?C","53.5","Celsius"
"O=C1OC(=O)C2=CC=CC3=C2C1=CC=C3","270.0 - 271.0","?C","270.0","Celsius"
"O=C1OCC2=CC=CC=C12","74.0 - 75.0","?C","74.5","Celsius"
"CC1=C(N)C=CC=C1Cl","1.0 - 2.0","?C","1.5","Celsius"
"OC(=O)C1=CSC=C1","138.0 - 139.0","?C","138.0","Celsius"
"N(C1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1","61.0 - 62.0","?C","61.5","Celsius"
"O=C1C2=CC=CC=C2OC2=CC=CC=C12","175.0 - 176.0","?C","176.0","Celsius"
"O=C(C1=CC=CC=C1)C1=CC=CC=N1","42.0 - 43.0","?C","42.5","Celsius"
"CC(=O)OC(OC(C)=O)C1=CC=C(O1)[N+]([O-])=O","90.0 - 91.0","?C","90.5","Celsius"
"COC1=CC=C(CC(O)=O)C=C1OC","97.0 - 98.0","?C","97.5","Celsius"
"CCCOC(=O)C1=CC=C(N)C=C1","74.0 - 75.0","?C","74.5","Celsius"
"COC1=CC(=CC=C1N)[N+]([O-])=O","140.0 - 141.0","?C","140.0","Celsius"
"ClS(=O)(=O)C1=CC=C(Br)C=C1","75.0 - 76.0","?C","75.5","Celsius"
"ClC1=CC=C(C=C1)S(Cl)(=O)=O","51.0 - 52.0","?C","51.5","Celsius"
"CN(C)C1=CC=C(C=C1)[N+]([O-])=O","164.0 - 165.0","?C","164.0","Celsius"
"ClN=C1C=C(Cl)C(=O)C(Cl)=C1","66.0 - 67.0","?C","66.5","Celsius"
"N=C(NC1=CC=CC=C1)NC1=CC=CC=C1","149.0 - 150.0","?C","150.0","Celsius"
"ClC1=C(Cl)C=C(C=C1)N=C=O","42.0 - 43.0","?C","42.5","Celsius"
"CC1=NNC(=O)C1","221.0 - 222.0","?C","222.0","Celsius"
"CC1=CN=CC=N1","-30.0 - -29.0","?C","-29.5","Celsius"
"CCCCCCCCCCCCCCCC(=O)OC","30.0 - 31.0","?C","30.5","Celsius"
"OCCCCCCCCCC=C","-3.0 - -2.0","?C","-2.5","Celsius"
"CCCCCCCCCCCCS","-8.0 - -7.0","?C","-7.5","Celsius"
"CCCCCCCCCCCCCCCC(Cl)=O","11.0 - 12.0","?C","11.5","Celsius"
"CCCCCCCCCCCCCCCCBr","17.0 - 18.0","?C","17.5","Celsius"
"OCC(Cl)(Cl)Cl","18.0 - 19.0","?C","18.5","Celsius"
"OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl","77.5 - 78.5","?C","78.0","Celsius"
"OC1=CC=CC=C1C(=O)C1=CC=CC=C1","39.0 - 40.0","?C","39.5","Celsius"
"COC1=CC(=CC=C1N)C1=CC=C(N)C(OC)=C1","136.0 - 137.0","?C","136.0","Celsius"
"COC1=CC(C=O)=CC(OC)=C1O","112.0 - 113.0","?C","112.0","Celsius"
"NC1=CC=C(OC2=CC=CC=C2)C=C1","83.0 - 84.0","?C","83.5","Celsius"
"C1=CC2=CC3=C(C=C2C=C1)C1=C2C3=CC=CC2=CC=C1","216.0 - 217.0","?C","216.0","Celsius"
"C1=CC=C2N=CN=CC2=C1","47.0 - 48.0","?C","47.5","Celsius"
"C1=CC2=CC3=CC=CC=C3N=C2C=C1","108.0 - 109.0","?C","108.0","Celsius"
"N1C=CC2=C1N=CC=C2","105.0 - 106.0","?C","106.0","Celsius"
"O1C=NC2=CC=CC=C12","30.0 - 31.0","?C","30.5","Celsius"
"C1CN2CCN1CC2","158.0 - 159.0","?C","158.0","Celsius"
"OC(=O)CC#N","66.0 - 67.0","?C","66.5","Celsius"
"OC(=O)C1=C(F)C=CC=C1F","158.0 - 159.0","?C","158.0","Celsius"
"FC1=CC=CC=C1C(Cl)=O","4.0 - 5.0","?C","4.5","Celsius"
"OC(=O)C1=CC(F)=CC=C1","123.0 - 124.0","?C","124.0","Celsius"
"N1C(=NC(=C1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1","275.0 - 276.0","?C","276.0","Celsius"
"COC1=CC(OC)=C(C=C1OC)C(O)=O","144.0 - 145.0","?C","144.0","Celsius"
"[O-]\[N+](=N/C1=CC=CC=C1)C1=CC=CC=C1","35.0 - 36.0","?C","35.5","Celsius"
"C1CC2CC1C=C2","45.0 - 46.0","?C","45.5","Celsius"
"OCCC1=CC=C(O)C=C1","90.0 - 91.0","?C","90.5","Celsius"
"OCCCCCCCCCCCCCCCC(O)=O","98.0 - 99.0","?C","98.5","Celsius"
"CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1","36.0 - 37.0","?C","36.5","Celsius"
"OCCC1=CNC2=CC=CC=C12","58.0 - 59.0","?C","58.5","Celsius"
"CC1=CC(C)=C(O)C(C)=C1","72.0 - 73.0","?C","72.5","Celsius"
"OC(=O)C1=CC(=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","165.0 - 166.0","?C","166.0","Celsius"
"O=C1CCCC2=CC=CC=C12","7.0 - 8.0","?C","7.5","Celsius"
"NC(=O)NCC1=CC=CC=C1","148.0 - 149.0","?C","148.0","Celsius"
"CCCCCCCCC(=O)CCCCCCCC","52.0 - 53.0","?C","52.5","Celsius"
"CC(C)CC(N)=O","136.0 - 137.0","?C","136.0","Celsius"
"CC1=CC=CC(=C1N)[N+]([O-])=O","95.0 - 96.0","?C","95.5","Celsius"
"OCC1=CC=NC=C1","53.0 - 54.0","?C","53.5","Celsius"
"COC(N)=O","54.0 - 55.0","?C","54.5","Celsius"
"OC(=O)C(Cl)=C","65.0 - 66.0","?C","65.5","Celsius"
"CCC(C(O)=O)C(O)=O","113.0 - 114.0","?C","114.0","Celsius"
"OC1=CC=CC(O)=C1[N+]([O-])=O","82.0 - 83.0","?C","82.5","Celsius"
"OC(=O)C1=C(F)C(F)=C(F)C(F)=C1F","101.0 - 102.0","?C","102.0","Celsius"
"CC1=CC=CC(C(O)=O)=C1C","145.0 - 146.0","?C","146.0","Celsius"
"[O-][N+](=O)C1=CC2=C(C=CC=C2)C(=C1)[N+]([O-])=O","147.0 - 148.0","?C","148.0","Celsius"
"CN1C(=O)C=CC2=C1C=CC=C2","74.0 - 75.0","?C","74.5","Celsius"
"[O-][N+](=O)C1=CC=C2C(CC3=CC=CC=C23)=C1","156.0 - 157.0","?C","156.0","Celsius"
"[O-][N+](=O)C1=CC=CO1","30.0 - 31.0","?C","30.5","Celsius"
"OC(=O)C1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","181.0 - 182.0","?C","182.0","Celsius"
"OC(=O)C(=O)C1=CC=CC=C1","65.0 - 66.0","?C","65.5","Celsius"
"CC1=CC=C(C=C1)C1=CC=C(C)C=C1","120.0 - 121.0","?C","120.0","Celsius"
"N#CC1=CC2=CC=CC=C2C=C1","65.0 - 66.0","?C","65.5","Celsius"
"O=C1CCCN1","23.0 - 24.0","?C","23.5","Celsius"
"CC1=CC=C(C=C1C)C(O)=O","165.0 - 166.0","?C","166.0","Celsius"
"[O-][S+](CC1=CC=CC=C1)CC1=CC=CC=C1","133.0 - 134.0","?C","134.0","Celsius"
"CCOC1=CC=CC(=C1)C(O)=O","136.0 - 137.0","?C","136.0","Celsius"
"NC(=O)OCC1=CC=CC=C1","87.0 - 88.0","?C","87.5","Celsius"
"CCCOC1=CC=CC=C1","-28.0 - -27.0","?C","-27.5","Celsius"
"CC(CC(O)=O)CC(O)=O","86.0 - 87.0","?C","86.5","Celsius"
"CC(CCC(O)=O)CC(O)=O","100.0 - 101.0","?C","100.0","Celsius"
"CCCCCCC#N","-64.0 - -63.0","?C","-63.5","Celsius"
"CCCCCCCCCCCCCCCCCCCCCCCCC","53.0 - 54.0","?C","53.5","Celsius"
"C1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1","282.0 - 283.0","?C","282.0","Celsius"
"CCOC(=O)C1=CC=C(C=C1)C(=O)OCC","44.0 - 45.0","?C","44.5","Celsius"
"CCC1CCC2C3CCC4CCCCC4(C)C3CCC12C","83.5 - 84.5","?C","84.0","Celsius"
"N#CC(C#N)=C(C#N)C#N","198.0 - 199.0","?C","198.0","Celsius"
"CP(Cl)(Cl)=O","35.0 - 36.0","?C","35.5","Celsius"
"CC1=NC=CN1","143.0 - 144.0","?C","144.0","Celsius"
"O=C1CC2=CC=CC=C2C(=O)O1","142.0 - 143.0","?C","142.0","Celsius"
"CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C","66.0 - 67.0","?C","66.5","Celsius"
"O1C(=NN=C1C1=CC=CC=C1)C1=CC=CC=C1","139.0 - 140.0","?C","140.0","Celsius"
"CC(C)=CC=C(C)C","12.0 - 13.0","?C","12.5","Celsius"
"CC1=CC(C)=NC(N)=N1","152.0 - 153.0","?C","152.0","Celsius"
"CC1=CC(C)=C(C(C)=C1)S(Cl)(=O)=O","55.0 - 56.0","?C","55.5","Celsius"
"CC(Cl)C(Cl)(Cl)Cl","-65.0 - -64.0","?C","-64.5","Celsius"
"C=CC1=CC=C2C=CC=CC2=C1","65.0 - 66.0","?C","65.5","Celsius"
"NNC1=C(F)C(F)=C(F)C(F)=C1F","75.0 - 76.0","?C","75.5","Celsius"
"O=C1CCCCCCCCCCC1","60.0 - 61.0","?C","60.5","Celsius"
"CC1=CC=C(C=C1)C(Cl)=O","-3.0 - -2.0","?C","-2.5","Celsius"
"S1C2=C(C=CC=C2)N=C1C1=CC=CC=C1","114.0 - 115.0","?C","114.0","Celsius"
"OC1=NC2=CC=CC=C2S1","138.0 - 139.0","?C","138.0","Celsius"
"[O-][N+](=O)C1=C(Cl)C=CC(=C1)C#N","99.0 - 100.0","?C","99.5","Celsius"
"[O-][N+](=O)C1=CC=C(NC2=CC=CC=C2)C(=C1)[N+]([O-])=O","159.0 - 160.0","?C","160.0","Celsius"
"COC1=CC=C2C(=O)CCCC2=C1","78.0 - 79.0","?C","78.5","Celsius"
"CC(=O)C1=CC=NC=C1","15.0 - 16.0","?C","15.5","Celsius"
"CC1=CC=NC(=C1)C1=CC(C)=CC=N1","174.0 - 175.0","?C","174.0","Celsius"
"BrC1=C(Br)C(Br)=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1Br","305.0 - 306.0","?C","306.0","Celsius"
"NS(=O)(=O)C1=C(Cl)C=CC(=C1)C(O)=O","257.0 - 258.0","?C","258.0","Celsius"
"ClC1=CC(Br)=C(Cl)C=C1","34.0 - 35.0","?C","34.5","Celsius"
"NC(=O)C1=CC=NC=C1","156.0 - 157.0","?C","156.0","Celsius"
"FC1=CC=C(C=C1)N=C=S","26.0 - 27.0","?C","26.5","Celsius"
"COC(=O)C1=CC=C(C=C1)C(O)=O","221.0 - 222.0","?C","222.0","Celsius"
"OP(=O)(C1=CC=CC=C1)C1=CC=CC=C1","194.0 - 195.0","?C","194.0","Celsius"
"NC(N)=NC(=O)C1=C(N)N=C(N)C(Cl)=N1","240.0 - 241.0","?C","240.0","Celsius"
"COC1=CC=CC(OC)=C1C(C)=O","69.0 - 70.0","?C","69.5","Celsius"
"OC(=O)CCCCBr","39.0 - 40.0","?C","39.5","Celsius"
"ClC1=CC=C(C=C1)N=C=S","45.0 - 46.0","?C","45.5","Celsius"
"ClC1=C(Cl)N=CC=C1","66.0 - 67.0","?C","66.5","Celsius"
"OC(=O)CC1=CC=CC=C1Cl","95.0 - 96.0","?C","95.5","Celsius"
"ClC1=CC(Cl)=CN=C1","65.0 - 66.0","?C","65.5","Celsius"
"CC(=O)N1C=CN=C1","101.0 - 102.0","?C","102.0","Celsius"
"OC(=O)C1=C(C=CC(Cl)=C1)[N+]([O-])=O","138.0 - 139.0","?C","138.0","Celsius"
"CCOC(=O)C1=CC=CC=N1","1.0 - 2.0","?C","1.5","Celsius"
"OC1=C(Br)C=C(C=O)C=C1Br","181.0 - 182.0","?C","182.0","Celsius"
"OC1=C(C=C(C=O)C=C1)[N+]([O-])=O","141.0 - 142.0","?C","142.0","Celsius"
"N#CSCC1=CC=CC=C1","42.0 - 43.0","?C","42.5","Celsius"
"CS(=O)(=O)C1=CC=CC=C1","86.0 - 87.0","?C","86.5","Celsius"
"NNC(=O)C1=CC=CO1","79.0 - 80.0","?C","79.5","Celsius"
"BrCCCCCCCCCCCCBr","40.0 - 41.0","?C","40.5","Celsius"
"CCNC1=CC=C(C=C1)[N+]([O-])=O","96.0 - 97.0","?C","96.5","Celsius"
"S=C=NC1=CC=C(C=C1)N=C=S","131.0 - 132.0","?C","132.0","Celsius"
"CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C","43.0 - 44.0","?C","43.5","Celsius"
"CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC","81.0 - 82.0","?C","81.5","Celsius"
"OC(=O)CCCCCBr","34.0 - 35.0","?C","34.5","Celsius"
"OC(=O)C1=CC=C(S1)C(O)=O","358.0 - 359.0","?C","358.0","Celsius"
"O=CN1CCOCC1","21.0 - 22.0","?C","21.5","Celsius"
"CC1=CC=C(CC2=CC=C(C)C=C2)C=C1","28.0 - 29.0","?C","28.5","Celsius"
"CC1=C(C(=CC=C1)C(O)=O)[N+]([O-])=O","221.0 - 222.0","?C","222.0","Celsius"
"BrCCCN1C(=O)C2=CC=CC=C2C1=O","74.0 - 75.0","?C","74.5","Celsius"
"CCCCCCCC1CCCCC1","-31.0 - -30.0","?C","-30.5","Celsius"
"NC(=O)C1=CC=CS1","181.0 - 182.0","?C","182.0","Celsius"
"N#CSCSC#N","105.0 - 106.0","?C","106.0","Celsius"
"NS(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O","179.0 - 180.0","?C","180.0","Celsius"
"NCC1CCNCC1","24.0 - 25.0","?C","24.5","Celsius"
"ClC(=O)C1=CC=CC=C1Br","10.0 - 11.0","?C","10.5","Celsius"
"NC(=O)C(Br)(Br)C#N","123.5 - 124.5","?C","124.0","Celsius"
"CC1(C)C2CCC1(C)C(=O)C2=O","199.0 - 200.0","?C","200.0","Celsius"
"CCCCCCCCCCCCC=O","14.0 - 15.0","?C","14.5","Celsius"
"C1COC2=CC=CC=C2OCCOCCOC2=CC=CC=C2OCCO1","162.0 - 163.0","?C","162.0","Celsius"
"CCCCCC1=CC=C(O)C=C1","23.0 - 24.0","?C","23.5","Celsius"
"OCC1=C(Cl)C=CC=C1Cl","97.0 - 98.0","?C","97.5","Celsius"
"N#CC1=CC2=C(NC=C2)C=C1","106.0 - 107.0","?C","106.0","Celsius"
"CCCCCCCCCCCCCC(=O)OC","18.0 - 19.0","?C","18.5","Celsius"
"CC1=C(Br)C=C(Br)C=C1Br","69.0 - 70.0","?C","69.5","Celsius"
